"filename", "language", "Markdown", "pip requirements", "Python", "CSS", "comment", "blank", "total"
"d:\CODE\bepilot\Bot\Local\en.py", "Python", 0, 0, 5, 0, 0, 1, 6
"d:\CODE\bepilot\Bot\Local\french.py", "Python", 0, 0, 5, 0, 0, 0, 5
"d:\CODE\bepilot\Bot\Local\hindi.py", "Python", 0, 0, 2, 0, 0, 1, 3
"d:\CODE\bepilot\Bot\main.md", "Markdown", 20, 0, 0, 0, 0, 1, 21
"d:\CODE\bepilot\Bot\main.py", "Python", 0, 0, 43, 0, 10, 19, 72
"d:\CODE\bepilot\Bot\main_css.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\CODE\bepilot\Bot\settings.py", "Python", 0, 0, 11, 0, 5, 5, 21
"d:\CODE\bepilot\Bot\web_pages\Flow\flow.md", "Markdown", 24, 0, 0, 0, 0, 5, 29
"d:\CODE\bepilot\Bot\web_pages\Flow\flow.py", "Python", 0, 0, 3, 0, 0, 1, 4
"d:\CODE\bepilot\Bot\web_pages\Functions\function.md", "Markdown", 24, 0, 0, 0, 0, 4, 28
"d:\CODE\bepilot\Bot\web_pages\Functions\function.py", "Python", 0, 0, 3, 0, 0, 1, 4
"d:\CODE\bepilot\Bot\web_pages\Knowledge\knowledge.css", "CSS", 0, 0, 0, 17, 0, 3, 20
"d:\CODE\bepilot\Bot\web_pages\Knowledge\knowledge.md", "Markdown", 28, 0, 0, 0, 0, 7, 35
"d:\CODE\bepilot\Bot\web_pages\Knowledge\knowledge.py", "Python", 0, 0, 34, 0, 1, 11, 46
"d:\CODE\bepilot\Bot\web_pages\Security\security.md", "Markdown", 24, 0, 0, 0, 0, 4, 28
"d:\CODE\bepilot\Bot\web_pages\Security\security.py", "Python", 0, 0, 3, 0, 0, 1, 4
"d:\CODE\bepilot\Bot\web_pages\Setting_icon\setting_icon.md", "Markdown", 80, 0, 0, 0, 0, 14, 94
"d:\CODE\bepilot\Bot\web_pages\Setting_icon\setting_icon.py", "Python", 0, 0, 3, 0, 0, 1, 4
"d:\CODE\bepilot\Bot\web_pages\Settings\settings.md", "Markdown", 81, 0, 0, 0, 0, 19, 100
"d:\CODE\bepilot\Bot\web_pages\root.md", "Markdown", 8, 0, 0, 0, 0, 4, 12
"d:\CODE\bepilot\Bot\web_pages\root.py", "Python", 0, 0, 2, 0, 2, 1, 5
"d:\CODE\bepilot\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"d:\CODE\bepilot\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 1, 8
"Total", "-", 290, 7, 114, 17, 18, 105, 551
